127.0.0.1 - - [22/Apr/2017:09:35:38 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:35:41 +0800] "GET /Test/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:35:42 +0800] "GET /Test/image/bg2.jpg HTTP/1.1" 200 344456
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:36:56 +0800] "POST /Test/_login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:38:18 +0800] "GET /Test/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:38:27 +0800] "POST /Test/_login HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:38:30 +0800] "GET /Test/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:38:30 +0800] "GET /Test/image/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:38:30 +0800] "GET /Test/image/bg2.jpg HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:39:59 +0800] "POST /Test/_login HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:40:01 +0800] "GET /Test/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:40:01 +0800] "GET /Test/image/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:40:01 +0800] "GET /Test/image/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:40:19 +0800] "POST /Test/_login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:40:20 +0800] "GET /Test/homepage.jsp HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:40:20 +0800] "GET /Test/image/1.jpg HTTP/1.1" 200 261932
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:40:20 +0800] "GET /Test/image/1.jpg HTTP/1.1" 500 261932
0:0:0:0:0:0:0:1 - - [22/Apr/2017:09:58:24 +0800] "GET /Test/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [22/Apr/2017:10:51:01 +0800] "GET /Test/register.jsp HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [22/Apr/2017:10:51:01 +0800] "GET /Test/image/bg1.jpg HTTP/1.1" 200 85573
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:11:24 +0800] "GET /Test/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:20:06 +0800] "GET /Test/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:20:08 +0800] "GET /Test/register.jsp HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:28:27 +0800] "GET /Test/modify_message.jsp HTTP/1.1" 500 2834
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:28:31 +0800] "GET /Test/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:28:38 +0800] "POST /Test/_login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:28:38 +0800] "GET /Test/homepage.jsp HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:28:39 +0800] "GET /Test/modify_message.jsp HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:28:39 +0800] "GET /Test/image/22.jpg HTTP/1.1" 200 211805
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:28:39 +0800] "GET /Test/image/22.jpg HTTP/1.1" 200 211805
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:34:22 +0800] "GET /Test/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:34:37 +0800] "POST /Test/_login HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:34:39 +0800] "GET /Test/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:34:39 +0800] "GET /Test/image/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:34:39 +0800] "GET /Test/image/bg2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:34:52 +0800] "POST /Test/_login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:34:52 +0800] "GET /Test/homepage.jsp HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:34:53 +0800] "GET /Test/delete.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:34:53 +0800] "GET /Test/image/image-4.jpg HTTP/1.1" 200 34722
0:0:0:0:0:0:0:1 - - [22/Apr/2017:11:34:53 +0800] "GET /Test/image/image-4.jpg HTTP/1.1" 500 -
