127.0.0.1 - - [30/Mar/2018:06:18:10 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:11 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/index.jsp HTTP/1.1" 200 4240
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:11 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/nbgy.css HTTP/1.1" 200 7664
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:11 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/index.css HTTP/1.1" 200 3438
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:12 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/icon.png HTTP/1.1" 200 10695
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:12 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/scripts/jquery-1.7.1.min.js HTTP/1.1" 200 93872
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:12 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/4.jpg HTTP/1.1" 200 61282
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:12 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/gplc.jpg HTTP/1.1" 200 17600
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:12 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/scripts/chdata.js HTTP/1.1" 200 7905
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:12 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/bg.jpg HTTP/1.1" 200 4771
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:12 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/time.gif HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:16 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/login.jsp HTTP/1.1" 200 5380
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:16 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/easyAlert.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:16 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/style.css HTTP/1.1" 200 14705
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:16 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/layer.css HTTP/1.1" 200 10345
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:16 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/yuding.css HTTP/1.1" 200 25208
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:16 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/111.jpg HTTP/1.1" 200 24726
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:16 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/scripts/jquery.cookie.js HTTP/1.1" 200 4291
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:16 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/login.css HTTP/1.1" 200 12006
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:16 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/Validate.ashx HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:16 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/nbgy/time.png HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:16 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/arr2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:16 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/arr.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:17 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/input-bottom.png HTTP/1.1" 200 16539
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:30 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/Validate.ashx?0.6840351681660799 HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:31 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/Validate.ashx?0.7454394719699522 HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:49 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/login.jsp HTTP/1.1" 200 5380
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:49 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/easyAlert.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:49 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/nbgy/time.png HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:49 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/arr.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:18:49 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/arr2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:25:44 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/failure_orders.jsp HTTP/1.1" 200 7195
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:25:44 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/style/easyAlert.css HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:25:44 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/nbgy/time.png HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:25:44 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/icon_01.gif HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:25:44 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/arrow.gif HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:25:44 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/tq.gif HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:25:44 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/dzsw/images/left_bg.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [30/Mar/2018:06:25:50 +0800] "GET /%E7%81%AB%E8%BD%A6%E8%AE%A2%E7%A5%A8/personal_centre.jsp HTTP/1.1" 200 4668
